Gene,P0,TBLC_P6,TBLC_P6_r1,TBLC_P6_r2,,
Mir6940,0,0,0,0,,
Gcnt4,4.545453121,14.90977215,8.898826811,4.384891303,,
Mir6942,0.052246588,0,0.095174618,0,,
Mir6943,0,0,0,0,,
Gcnt1,22.83175878,49.09198289,28.36203625,26.50209029,,
Mir6945,0,0.527355285,0.047587309,0.096371237,,
Mir6946,0,0,0.047587309,0.096371237,,
Gcnt2,123.772166,43.00342642,66.62223281,42.88520065,,
Mir6948,0,0,0,0.096371237,,
Mir6949,0,0,0,0,,
Mark4,30.04178787,71.33678764,57.62823138,54.44974915,,
Mark1,23.71995077,36.1957491,26.60130581,20.71981605,,
Mark2,123.4064399,72.29561543,124.1552896,65.82155516,,
Mark3,145.8724726,133.900301,157.8946918,139.4973662,,
4930565D16Rik,0,0,0,0,,
Gm7607,0,0.479413895,0.285523855,0.626413043,,
Nmd3,172.0480129,81.40447944,187.7795219,98.68414712,,
Rps15a-ps6,10.81504363,14.14270991,19.03492366,27.36943143,,
Extl1,45.66351756,18.69714192,18.03559017,32.91077758,,
Extl2,15.72622287,24.40216728,22.55638454,10.50446488,,
Extl3,183.8034952,255.3358407,194.108634,146.1469816,,
Gm7609,0.104493175,0.143824169,0,0,,
Tia1,104.2319422,66.35088313,65.86083586,80.22905516,,
Tmem160,19.27899082,36.81898717,57.34270753,42.59608694,,
Tmem163,0.20898635,0.862945012,0.285523855,0,,
Tmem165,99.84322889,122.9696642,117.1123678,120.8977174,,
Tmem164,39.75965316,48.94815872,48.82457919,47.94469062,,
Tmem167,71.94355111,75.69945409,105.5486517,66.59252506,,
Tmem169,0.574712464,0.671179454,0.951746183,0.578227425,,
Tmem168,44.56633922,55.61201187,43.30445133,25.97204849,,
Tbc1d8,33.43781606,39.35988081,24.65022614,41.77693142,,
Tbc1d9,13.27063325,37.96958052,22.74673377,13.20285953,,
Tbc1d1,127.063701,149.0018387,130.4844017,194.9108277,,
Tbc1d2,36.31137838,42.04459863,43.54238787,34.35634614,,
Tbc1d4,13.8975923,17.73831413,12.51546231,11.90184782,,
Tbc1d5,26.38452673,22.0050978,25.03092461,24.18918059,,
Tbc1d7,39.86414633,18.07390386,29.74206822,25.4901923,,
D730003I15Rik,0.992685164,0.671179454,1.237270038,2.794765885,,
Spata48,0.20898635,0.04794139,0.285523855,0.337299331,,
Spata45,0.156739763,0,0.285523855,0.096371237,,
Spata46,0,0.287648337,0,0.096371237,,
Tex13a,0,0,0,0,,
Mir3070a,0,0,0,0,,
Mir3070b,0,0,0.047587309,0,,
4933405E24Rik,0,0.095882779,0,0.096371237,,
Akirin2,98.48481761,116.2578696,107.0714456,97.81680599,,
Akirin1,85.73665024,134.3797149,126.2491312,100.6597575,,
Rab3il1,16.03970239,20.90244584,20.93841603,30.6460535,,
Ap3m1,108.0981897,87.15744619,137.8128473,120.1749331,,
Ap3m2,14.89027746,25.36099507,17.94041555,30.16419731,,
Limd2,31.97491161,57.81731579,62.33937499,47.46283443,,
Limd1,43.41691429,61.41292,51.4894685,30.01964046,,
1700046C09Rik,0,0,0,0,,
Nop58,511.0238732,326.7205697,478.5855681,294.3177591,,
Acsf2,97.33539268,69.32324928,49.77632537,97.19039294,,
Acsf3,32.49737748,16.58772078,24.07917843,23.32183946,,
Nop53,270.6373237,243.3025519,285.9045534,315.567617,,
Sarnp,122.9362206,70.42590124,154.3732309,134.0042056,,
Cdk13,99.94772206,91.52011264,115.446812,80.32542639,,
Kcnip4,2.716822555,1.582065855,2.522127385,2.842951504,,
Kcnip3,10.60605728,8.437684559,11.46854151,10.64902174,,
Kcnip2,16.09194898,6.663853146,15.6086374,35.32005852,,
Kcnip1,0,0.671179454,0.095174618,0,,
4930553E22Rik,0.052246588,0,0,0,,
4930447A16Rik,0,0,0,0,,
Tpcn1,49.58201163,59.20761608,67.47880437,55.84713209,,
Tpcn2,11.49424927,18.26566942,15.98933587,11.56454849,,
Taar6,0,0,0,0,,
Tcirg1,61.12850748,125.9420303,79.47080628,85.38491636,,
Ltbp4,411.0761512,265.7391222,348.1487537,311.3754681,,
Ltbp3,50.47020361,176.5681377,84.08677527,112.1279347,,
Ltbp2,108.9863817,489.1939389,184.6387595,163.6383611,,
Tcl1,168.1295189,44.05813699,113.3053831,111.0196655,,
Olfr911-ps1,0,0,0,0,,
Chadl,1.671890803,3.11619032,2.141428912,4.047591972,,
Pappa,1.776383978,29.29218901,22.27086068,13.87745819,,
Gm34240,0,0,0,0,,
9530082P21Rik,2.298849854,0.335589727,1.617968511,1.397382943,,
