gene,P0,P1,P2,P4,P5,P6,P7,P10,P15
Prdx4,52.1420944173163,67.6945118743437,67.4910915256134,72.1528427506967,67.418992644458,64.9851386534211,70.4224268311251,49.3202056637585,54.4075818950795
Prdx5,91.7972544000247,113.18141343283,95.3501085802276,138.072863067585,251.657893089386,323.079833021311,314.433217011617,138.366412849997,187.744472736542
Prdx6,251.515072670301,354.607311102543,298.814185018843,344.812413965262,568.678661872596,617.277382196656,497.361706300907,207.399709835289,356.261682216948
Prdx6b,0,0,0,0,0,0,0,0,0
Preb,78.1086484507894,107.346706164856,114.87473350344,122.596448041264,124.665617217361,141.968368904508,116.008609685636,130.870940864624,78.1630049760297
Prelid1,314.733443657228,359.013110468156,298.697620093928,246.61905036823,271.515654165241,320.582492688765,305.517642250781,240.754560170201,257.756790027905
Prelid2,40.3866122090035,23.6960560474836,27.8007345921568,35.2841134388473,18.0180774884467,10.8580014458515,11.4628818353602,18.5887705237266,22.6407991240728
Prelid3a,2.92580890518007,1.78613487795102,1.63190894880585,0.950769523801274,1.13627515692907,1.95444026025327,0.583757871245196,1.57404911692846,0.766303970353232
Prelid3b,71.7868113520968,115.205699627841,84.9758302628189,68.1913030681913,90.5232541686824,134.042027849036,126.091700188962,102.987785079034,78.6506529571635
Prelp,15.8307160405279,51.7979114605796,45.8100154914785,111.028752168349,190.731901341665,234.152801179787,251.228160224978,84.6988334347221,140.651610558471
Prep,98.2758312614949,187.663237843387,179.509984368644,176.473387723336,205.82812842658,166.290292143215,175.817257039576,123.825197198372,171.721753356429
Prepl,74.1901543813518,90.2593491657917,95.6415208925143,105.218493967341,98.0443135407367,104.56255392355,119.033536836634,55.8412662910336,86.6620126472201
Prex1,39.289433869561,29.1139985106017,34.8529125494964,61.4830958724824,31.1664043043402,18.132862414572,23.4564526445797,8.99456638244836,51.4120300109714
Prex2,26.4890199093981,54.2985002897111,48.1413139897726,51.9754006344696,57.9500330033825,52.2812769617748,44.2594604198631,44.073375273997,45.2815982481455
Prf1,0,0,0,0,0.108216681612292,0,0,0.149909439707473,0
Prg2,0.104493175185003,0,0,0,0.216433363224584,0,0,0,0
Prg4,0.731452226295018,2.08382402427619,0.874236936860277,1.95435957670262,6.81765094157441,15.7983921037139,5.78450981506604,9.96897774054694,14.2811194474921
Prh1,0,0,0,0,0.108216681612292,0,0,0,0
Prickle1,2.40334302925506,15.3012221211138,13.579813752563,24.5615460315329,54.1083408061461,38.0030050604802,42.1897734218119,26.0842425091003,52.0390059867149
Prickle2,6.11285074832265,18.2185757551004,24.5369166945451,27.3610340738367,35.170421523995,27.1450036146287,39.6955352446734,51.2690283799557,33.9960306847616
Prickle3,8.2549608396152,6.78731253621388,7.51843765699838,14.89538920622,11.6332932733214,6.02619080244757,9.97695270855427,2.99818879414945,10.5889275903356
Prickle4,0.104493175185003,0.238151317060136,0.349694774744111,0.897948994701203,0.649300089673753,0.325740043375544,0,0,0.696639973048393
Prim1,119.331206061273,118.003977603298,120.003590199687,104.53182708904,76.0222188326353,53.4213671135892,59.0126138931508,49.8448887027347,65.4841574665489
Prim2,96.3427075205724,84.7818688734085,84.2764407133307,70.4625858194944,56.0021327343612,45.4407360508884,47.974283236878,44.8978771923881,54.0592619085553
Prima1,0.940438576665023,0.476302634120273,0,2.32410328040311,1.02805847531678,0.217160028917029,0.106137794771854,0,1.04495995957259
Primpol,35.1097068621609,31.9122764860583,37.1259285853331,36.0236008462483,27.3788204479099,9.60933127957855,11.622088527518,15.9653553288458,21.1778551806711
